Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
13.10.2017,,807,,,,,,,,,,,,
16.10.2017,,820,,,,,,,,,,,,
17.10.2017,,839,,,,,,,,,,,,
18.10.2017,,826,,,,,,,,,,,,
19.10.2017,,770,,,,,,,,,,,,
20.10.2017,,788,,,,,,,,,,,,
23.10.2017,,757,,,,,,,,,,,,
24.10.2017,,748,,,,,,,,,,,,
25.10.2017,,787,,,,,,,,,,,,
26.10.2017,,841,,,,,,,,,,,,
27.10.2017,,1244,,,,,,,,,,,,
30.10.2017,,1044,,,,,,,,,,,,
31.10.2017,,1256,,,,,,,,,,,,
01.11.2017,,1200,,,,,,,,,,,,
02.11.2017,,1139,,,,,,,,,,,,
03.11.2017,,1520,,,,,,,,,,,,
07.11.2017,,1545,,,,,,,,,,,,
08.11.2017,,1350,,,,,,,,,,,,
09.11.2017,,1603,,,,,,,,,,,,
10.11.2017,,1366,,,,,,,,,,,,
13.11.2017,,1541,,,,,,,,,,,,
14.11.2017,,1841,,,,,,,,,,,,
15.11.2017,,1970,,,,,,,,,,,,
16.11.2017,,1696,,,,,,,,,,,,
17.11.2017,1627,1365,1627,1627,1627,1627,,1,1,60000,1,120000,2,
20.11.2017,1402,1415,1321,1444,1321,1444,-11.25,1,58,16080000,268,25800000,430,
21.11.2017,1420,1199,1420,1420,1420,1420,-1.66,2,22,5940000,99,37680000,628,
22.11.2017,996,942,1190,1190,961,964,-32.11,1,12,13980000,233,37560000,626,
23.11.2017,856,823,900,910,810,851,-11.72,1,4,300000,5,37920000,632,
24.11.2017,800,792,790,801,790,800,-5.99,66,55,43200000,720,121680000,2028,
27.11.2017,,695,,,,,,,,,,121680000,2028,
28.11.2017,799,772,800,800,775,775,,1,3,3120000,52,127920000,2132,
29.11.2017,,736,,,,,,,,,,127920000,2132,
30.11.2017,788,707,785,830,706,706,,2,33,26280000,438,156360000,2606,
01.12.2017,717,719,695,780,682,780,10.48,1,12,1680000,28,157680000,2628,
13.10.2017,,807,,,,,,,,,,,,
16.10.2017,,820,,,,,,,,,,,,
17.10.2017,,839,,,,,,,,,,,,
18.10.2017,,826,,,,,,,,,,,,
19.10.2017,,770,,,,,,,,,,,,
20.10.2017,,788,,,,,,,,,,,,
23.10.2017,,757,,,,,,,,,,,,
24.10.2017,,748,,,,,,,,,,,,
25.10.2017,,787,,,,,,,,,,,,
26.10.2017,,841,,,,,,,,,,,,
27.10.2017,,1244,,,,,,,,,,,,
30.10.2017,,1044,,,,,,,,,,,,
31.10.2017,,1256,,,,,,,,,,,,
01.11.2017,,1200,,,,,,,,,,,,
02.11.2017,,1139,,,,,,,,,,,,
03.11.2017,,1520,,,,,,,,,,,,
07.11.2017,,1545,,,,,,,,,,,,
08.11.2017,,1350,,,,,,,,,,,,
09.11.2017,,1603,,,,,,,,,,,,
10.11.2017,,1366,,,,,,,,,,,,
13.11.2017,,1541,,,,,,,,,,,,
14.11.2017,,1841,,,,,,,,,,,,
15.11.2017,,1970,,,,,,,,,,,,
16.11.2017,,1696,,,,,,,,,,,,
17.11.2017,1627,1365,1627,1627,1627,1627,,1,1,60000,1,120000,2,
20.11.2017,1402,1415,1321,1444,1321,1444,-11.25,1,58,16080000,268,25800000,430,
21.11.2017,1420,1199,1420,1420,1420,1420,-1.66,2,22,5940000,99,37680000,628,
22.11.2017,996,942,1190,1190,961,964,-32.11,1,12,13980000,233,37560000,626,
23.11.2017,856,823,900,910,810,851,-11.72,1,4,300000,5,37920000,632,
24.11.2017,800,792,790,801,790,800,-5.99,66,55,43200000,720,121680000,2028,
27.11.2017,,695,,,,,,,,,,121680000,2028,
28.11.2017,799,772,800,800,775,775,,1,3,3120000,52,127920000,2132,
29.11.2017,,736,,,,,,,,,,127920000,2132,
30.11.2017,788,707,785,830,706,706,,2,33,26280000,438,156360000,2606,
01.12.2017,717,719,695,780,682,780,10.48,1,12,1680000,28,157680000,2628,
13.10.2017,,807,,,,,,,,,,,,
16.10.2017,,820,,,,,,,,,,,,
17.10.2017,,839,,,,,,,,,,,,
18.10.2017,,826,,,,,,,,,,,,
19.10.2017,,770,,,,,,,,,,,,
20.10.2017,,788,,,,,,,,,,,,
23.10.2017,,757,,,,,,,,,,,,
24.10.2017,,748,,,,,,,,,,,,
25.10.2017,,787,,,,,,,,,,,,
26.10.2017,,841,,,,,,,,,,,,
27.10.2017,,1244,,,,,,,,,,,,
30.10.2017,,1044,,,,,,,,,,,,
31.10.2017,,1256,,,,,,,,,,,,
01.11.2017,,1200,,,,,,,,,,,,
02.11.2017,,1139,,,,,,,,,,,,
03.11.2017,,1520,,,,,,,,,,,,
07.11.2017,,1545,,,,,,,,,,,,
08.11.2017,,1350,,,,,,,,,,,,
09.11.2017,,1603,,,,,,,,,,,,
10.11.2017,,1366,,,,,,,,,,,,
13.11.2017,,1541,,,,,,,,,,,,
14.11.2017,,1841,,,,,,,,,,,,
15.11.2017,,1970,,,,,,,,,,,,
16.11.2017,,1696,,,,,,,,,,,,
17.11.2017,1627,1365,1627,1627,1627,1627,,1,1,60000,1,120000,2,
20.11.2017,1402,1415,1321,1444,1321,1444,-11.25,1,58,16080000,268,25800000,430,
21.11.2017,1420,1199,1420,1420,1420,1420,-1.66,2,22,5940000,99,37680000,628,
